Transcript_ID	Gene_ID	Biotype	Translated_sample_number	Transcribed_sample_number	Translated_samples	Transcribed_samples
ENST00000539839.1	ENSG00000111432.4	protein_coding	13	2	SRR970538,SRR970565,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680969	SRR1562539,SRR1562540
ENST00000557808.1	ENSG00000137843.11	retained_intron	1	2	SRR3208870	SRX870805,SRR1042900
ENST00000526360.1	ENSG00000130413.15	protein_coding	3	2	SRX870805,SRR1976445,SRR3208897	SRR1562539,SRR1042900
ENST00000482634.1	ENSG00000146263.11	protein_coding	7	2	SRR1803151,SRX870805,SRR970538,SRR970561,SRR970565,SRR970588,SRR1630831	SRR931815,SRR1042900
ENST00000464213.1	ENSG00000135218.17	retained_intron	2	3	SRR1910731,SRR3208870	SRR1562543,SRX870805,SRR970561
ENST00000522954.1	ENSG00000108515.17	retained_intron	2	2	SRR970538,SRR970565	SRX474113,SRR627621
ENST00000355962.4	ENSG00000198650.10	protein_coding	1	5	SRR1630831	SRR1562539,SRR1562542,SRR1562543,SRR1042900,SRR3208885
ENST00000491519.4	ENSG00000182568.16	protein_coding	1	1	SRX870805	SRR1976447
ENST00000521914.1	ENSG00000156787.16	protein_coding	21	3	SRX474113,SRR1803151,SRR1803188,GSE48933,SRX870805,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976444,SRR1976446,SRR1976447,SRR3130941,SRR1758378,SRR1758379,SRR3680966,SRR3680968,SRR3680969	SRR1562541,SRR1562543,SRR627621
ENST00000430298.6	ENSG00000214189.8	protein_coding	15	2	SRR935448,SRR935449,SRR1573939,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208897,SRR3208898	SRR1551155,SRR1562539
ENST00000323346.9	ENSG00000179520.10	protein_coding	10	1	SRR1562540,SRR1562542,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRX870805
ENST00000422128.5	ENSG00000231312.6	antisense	3	1	SRR970538,SRR970565,SRR1976446	SRR627620
ENST00000495084.1	ENSG00000082438.15	processed_transcript	2	2	SRR627625,SRR810100	SRR627621,SRR1507056
ENST00000252804.8	ENSG00000130508.10	protein_coding	47	2	SRX474113,SRR1803151,SRR1803186,SRR1551165,SRR1551155,SRR1562542,SRR935448,SRR935449,GSE48933,SRR1573939,SRX870805,SRR403883,SRR403889,SRR1042900,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627620,SRR627621,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1507056,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562539,SRR1562540
ENST00000525842.5	ENSG00000196323.11	protein_coding	38	1	SRX474113,SRR1551165,SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR1573939,SRX870804,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680967,SRR3680968,SRR3680969	SRR627620
ENST00000533996.5	ENSG00000234899.9	retained_intron	1	2	SRR3208871	SRR1803147,SRR1562539
ENST00000490475.1	ENSG00000100154.14	processed_transcript	7	1	GSE48933,SRX870805,SRR3208864,SRR3208870,SRR3208885,SRR3208897,SRR3208898	SRR1551155
ENST00000325042.2	ENSG00000179428.2	antisense	1	2	SRR970565	SRR1562539,SRR935448
ENST00000238875.9	ENSG00000119862.12	protein_coding	35	1	SRX474113,SRR1551165,SRR1551155,SRR1562540,GSE48933,SRR1573939,SRX870805,SRR403883,SRR403889,SRR970538,SRR970565,SRR970588,SRR1976443,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR810100,SRR1630831,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR627621
ENST00000448692.5	ENSG00000186312.10	processed_transcript	21	1	SRR1573939,SRR403889,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976445,SRR1976447,SRR1976448,SRR3130941,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR627620
ENST00000410694.1	ENSG00000222626.1	snRNA	1	1	SRR970561	SRR931815
ENST00000480477.1	ENSG00000132010.15	processed_transcript	1	3	SRR403889	SRR1562541,SRR1562542,SRR1562543
ENST00000513259.5	ENSG00000281398.2	processed_transcript	4	1	SRR1976443,SRR1976445,SRR1976446,SRR1976448	SRR1562542
ENST00000606888.2	ENSG00000272031.2	protein_coding	19	1	SRX474113,SRR1803188,SRR1803190,SRR1562540,SRR1562541,SRR935448,SRR935449,GSE48933,SRR403889,SRR970561,SRR970565,SRR1976443,SRR1976448,SRR627625,SRR810100,SRR3208885,SRR3208897,SRR3208898,SRR3680966	SRR627620
ENST00000492601.2	ENSG00000198964.13	processed_transcript	8	2	SRX870805,SRR970490,SRR970538,SRR970565,SRR970588,SRR3208897,SRR3680967,SRR3680969	SRR1562539,SRR1562543
ENST00000348946.8	ENSG00000100298.15	protein_coding	4	4	SRR1803151,SRR1803153,SRR1803190,SRR931815	SRR1562539,SRR1562541,SRR1562542,SRR810100
ENST00000243457.3	ENSG00000123700.4	protein_coding	22	1	SRR1562540,SRR1562542,GSE48933,SRR1910731,SRR1910735,SRR970490,SRR970538,SRR970565,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976447,SRR627625,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000460129.5	ENSG00000157087.16	nonsense_mediated_decay	13	2	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1173905,SRR1042900
ENST00000319144.4	ENSG00000179477.9	protein_coding	5	1	SRR1630831,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1042900
ENST00000262895.7	ENSG00000105737.9	protein_coding	17	2	SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR1976443,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1173905,SRR403889
ENST00000617991.4	ENSG00000276600.4	protein_coding	6	3	SRR1551155,SRR970565,SRR970588,SRR810100,SRR3208897,SRR3208898	SRR1562543,SRR1042900,SRR627620
ENST00000525839.5	ENSG00000136002.16	protein_coding	15	1	SRR1562540,SRR1562542,SRR1562543,SRR1573939,SRR970565,SRR970588,SRR1758378,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR627625
ENST00000484834.5	ENSG00000133063.15	processed_transcript	1	1	SRR1562542	SRR3208865
ENST00000215912.9	ENSG00000100100.12	protein_coding	22	1	SRR1803147,SRR1803151,SRR1803153,SRR1803190,SRR1551155,SRR1562540,SRR1562542,SRR1562543,SRR931815,SRX870805,SRR970565,SRR1976445,SRR1976447,SRR627625,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000418738.2	ENSG00000167244.18	protein_coding	1	1	GSE48933	SRR1042900
ENST00000543126.1	ENSG00000078699.21	protein_coding	18	1	SRR1803151,SRR1803188,SRR1803190,SRR1562540,SRR935449,GSE48933,SRX870805,SRR970565,SRR970588,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR810100,SRR1758379,SRR3208864,SRR3208865,SRR3208870	SRR627620
ENST00000480456.5	ENSG00000154721.14	protein_coding	26	2	SRR1803151,SRR1803153,SRR1803188,SRR1803190,SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,GSE48933,SRR1976443,SRR1976444,SRR1976446,SRR1976448,SRR627625,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900,SRR970561
ENST00000369880.7	ENSG00000214435.7	protein_coding	30	1	SRX474113,SRR1803151,SRR1803186,SRR1551165,SRR1562542,SRR1562543,SRR1573939,SRX870804,SRX870805,SRR970565,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627625,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000434872.1	ENSG00000228106.5	lincRNA	3	2	SRR970565,SRR970588,SRR1630831	SRR627620,SRR627621
ENST00000379551.2	ENSG00000184838.14	protein_coding	6	1	SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR627625,SRR810100	SRR1042900
ENST00000395029.5	ENSG00000081059.19	protein_coding	11	1	SRR1573939,SRX870805,SRR970490,SRR970561,SRR1976447,SRR810100,SRR1630831,SRR3208870,SRR3208871,SRR3208885,SRR3208897	SRR1042900
ENST00000614911.2	ENSG00000274750.2	protein_coding	1	1	SRR3208871	SRR3130940
ENST00000527171.5	ENSG00000149054.14	processed_transcript	8	1	SRR1803151,SRR1803153,SRR1803190,SRR931815,SRX870805,SRR1976446,SRR1976447,SRR1758379	SRR1562541
ENST00000396259.5	ENSG00000106086.18	protein_coding	19	1	SRX474113,SRR1803188,GSE48933,SRX870805,SRR970538,SRR970565,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1630831,SRR1758378,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1042900
ENST00000398052.8	ENSG00000125388.19	protein_coding	3	1	SRR3208870,SRR3208871,SRR3208897	SRR1562543
ENST00000497138.5	ENSG00000124224.16	processed_transcript	1	8	SRR970588	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR935448,SRR1042900,SRR627620,SRR3208886
ENST00000312053.8	ENSG00000174837.14	protein_coding	6	2	SRR1803151,SRR1910731,SRR970565,SRR1976444,SRR1976445,SRR1976447	SRR1173905,SRX870805
ENST00000271332.3	ENSG00000143126.7	protein_coding	41	1	SRX474113,SRR1551165,SRR1551155,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,GSE48933,SRR1573939,SRX870804,SRX870805,SRR403883,SRR403889,SRR1042900,SRR970538,SRR970561,SRR970565,SRR1976443,SRR1976445,SRR1976446,SRR1976447,SRR810100,SRR3130940,SRR3130941,SRR1507056,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR627621
ENST00000497216.2	ENSG00000197694.13	processed_transcript	1	1	SRR3208865	SRX474113
ENST00000522596.6	ENSG00000171757.15	retained_intron	6	4	SRX474113,SRR1562542,SRR1976446,SRR1630831,SRR1758378,SRR3208870	SRR1042900,SRR627620,SRR627621,SRR3680966
ENST00000477224.5	ENSG00000164076.16	protein_coding	10	1	SRR1562543,SRR970538,SRR970565,SRR1630831,SRR3208864,SRR3208865,SRR3208871,SRR3208885,SRR3208886,SRR3208898	SRR1562542
ENST00000557388.1	ENSG00000100558.8	processed_transcript	3	1	SRR403889,SRR970490,SRR970588	GSE48933
ENST00000409533.5	ENSG00000182600.9	protein_coding	1	1	SRR970565	SRR1042900
ENST00000534045.5	ENSG00000154237.12	protein_coding	1	3	SRR1573939	SRR627620,SRR627625,SRR3130940
ENST00000465719.1	ENSG00000164627.17	processed_transcript	1	5	SRX870805	SRR1803186,SRR1562539,SRR1562543,SRR1042900,SRR810100
ENST00000456489.1	ENSG00000205726.13	protein_coding	8	2	SRX474113,SRR970561,SRR970565,SRR1758378,SRR1758379,SRR3208898,SRR3680967,SRR3680968	SRR1803151,SRR1803190
ENST00000301318.7	ENSG00000196867.7	protein_coding	22	1	SRX474113,SRR1562540,SRR935449,SRR1573939,SRX870805,SRR1976444,SRR1976445,SRR1976446,SRR627625,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000374314.5	ENSG00000204175.5	protein_coding	4	3	SRR3208864,SRR3208865,SRR3208870,SRR3208871	SRR1562539,SRR1562541,SRR1042900
ENST00000532405.5	ENSG00000140090.17	protein_coding	4	1	SRX870805,SRR3208871,SRR3208897,SRR3208898	SRR1042900
ENST00000470070.6	ENSG00000114541.14	retained_intron	2	1	SRR3208865,SRR3208885	SRR1562539
ENST00000422086.5	ENSG00000161149.11	processed_transcript	8	6	SRR970565,SRR810100,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897	SRR1803151,SRR1562540,SRR1562543,SRR1042900,SRR970538,SRR627625
ENST00000278949.8	ENSG00000160588.9	protein_coding	21	2	SRX474113,SRR1803190,SRR970538,SRR970561,SRR970565,SRR1976443,SRR1976444,SRR1976445,SRR1976447,SRR1976448,SRR627625,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680969	SRR1562542,SRR1562543
ENST00000399822.2	ENSG00000215221.2	processed_pseudogene	1	1	SRR970565	SRR1173905
ENST00000567109.5	ENSG00000140945.15	protein_coding	38	1	SRR1551155,SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,SRR935449,GSE48933,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627620,SRR627621,SRR627625,SRR810100,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680969	SRR1173905
ENST00000591116.5	ENSG00000226686.7	lincRNA	1	9	SRX870805	SRR1562539,SRR935448,SRR935449,SRR970490,SRR970538,SRR970565,SRR970588,SRR3680966,SRR3680967
ENST00000435846.1	ENSG00000178568.13	protein_coding	1	1	SRR3208864	SRR1042900
ENST00000554178.1	ENSG00000070778.12	processed_transcript	3	1	SRR3208865,SRR3208870,SRR3208871	SRR627620
ENST00000303077.6	ENSG00000170577.7	protein_coding	21	2	SRX474113,SRR1551165,SRR1573939,SRX870805,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562540,SRR627625
ENST00000320354.5	ENSG00000176692.5	protein_coding	5	2	SRX474113,SRR970561,SRR810100,SRR1758379,SRR3680966	SRR1562540,SRR1562543
ENST00000260116.4	ENSG00000137561.4	protein_coding	1	2	SRR970565	SRX474113,SRR970587
ENST00000343534.9	ENSG00000143110.11	protein_coding	1	13	SRR1803151	SRR1562539,SRR1562541,SRR403883,SRR1042900,SRR970490,SRR970565,SRR970587,SRR970588,SRR627621,SRR627625,SRR810100,SRR1630831,SRR3208870
ENST00000602430.1	ENSG00000164080.13	retained_intron	8	1	SRR970561,SRR970565,SRR1976445,SRR1976446,SRR810100,SRR3208864,SRR3208871,SRR3208898	SRR1042900
ENST00000444388.5	ENSG00000244625.5	lincRNA	5	3	SRR970490,SRR970538,SRR970565,SRR970588,SRR1630831	SRR1562543,SRR627620,SRR627621
ENST00000515767.1	ENSG00000250363.1	processed_pseudogene	1	1	SRR1976446	SRR3208865
ENST00000261187.8	ENSG00000118596.11	protein_coding	24	1	SRR1551155,SRR1562540,SRR935448,SRX870805,SRR403889,SRR1910731,SRR1910735,SRR970490,SRR970538,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976447,SRR1976448,SRR627625,SRR1758379,SRR3208897,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1042900
ENST00000513986.1	ENSG00000168916.15	protein_coding	7	1	SRX870805,SRR1976447,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208897	SRR1042900
ENST00000517386.1	ENSG00000147421.17	processed_transcript	1	1	SRX870805	SRR1042900
ENST00000483738.1	ENSG00000120942.13	protein_coding	1	1	SRR3680967	SRR627620
ENST00000595673.1	ENSG00000268621.5	lincRNA	6	2	SRR970561,SRR970565,SRR970587,SRR970588,SRR3680966,SRR3680967	SRR1562543,SRR3208897
ENST00000399010.5	ENSG00000182670.13	protein_coding	16	2	SRR1803188,SRR1573939,SRR403889,SRR970490,SRR970538,SRR970565,SRR970588,SRR1976445,SRR627625,SRR1758378,SRR1758379,SRR3208865,SRR3208870,SRR3208897,SRR3208898,SRR3680966	SRR1042900,SRR627621
ENST00000321764.3	ENSG00000185015.7	protein_coding	25	2	SRR1551155,GSE48933,SRR1573939,SRX870805,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976445,SRR1976446,SRR3130940,SRR3130941,SRR3208864,SRR3208865,SRR3208870,SRR3208885,SRR3208897,SRR3208898,SRR3680966,SRR3680968,SRR3680969	SRR1562539,SRR1042900
ENST00000461189.1	ENSG00000153827.13	retained_intron	7	1	SRR1562542,SRR1976445,SRR627625,SRR810100,SRR1758378,SRR3208865,SRR3208898	SRR1507056
ENST00000320634.7	ENSG00000135472.8	protein_coding	15	2	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900,SRR627621
ENST00000467008.5	ENSG00000124788.17	processed_transcript	15	1	SRR1803190,SRR1573939,SRR403889,SRR970561,SRR970565,SRR1976444,SRR1976445,SRR1976447,SRR1976448,SRR1630831,SRR1758378,SRR1758379,SRR3680966,SRR3680967,SRR3680968	SRR1562539
ENST00000306100.9	ENSG00000168843.13	protein_coding	12	1	SRR1562540,SRR1562541,SRR1562543,SRX870805,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1803147
ENST00000624829.3	ENSG00000261008.6	lincRNA	3	3	SRR970565,SRR970588,SRR1976448	SRX474113,SRR1562539,SRR1562542
ENST00000332853.8	ENSG00000165633.12	protein_coding	13	2	SRR1551155,SRR1562540,SRR1562542,SRR935449,SRX870805,SRR810100,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	GSE48933,SRR1042900
ENST00000369697.5	ENSG00000171385.9	protein_coding	12	1	SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000530967.6	ENSG00000175463.11	retained_intron	1	3	SRR1803190	SRR1562541,SRR627625,SRR3208870
ENST00000589338.5	ENSG00000133247.13	retained_intron	1	1	SRR970565	SRR1562543
ENST00000489171.5	ENSG00000107551.20	retained_intron	25	4	SRR1803151,SRR1803186,SRR1803188,SRR1803190,SRR1562540,SRR1562542,SRR1562543,GSE48933,SRR1573939,SRR931815,SRX870805,SRR1910735,SRR970565,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR935448,SRR1042900,SRR627621,SRR627625
ENST00000274605.5	ENSG00000145911.5	protein_coding	24	1	SRR1803151,SRR1803186,SRR1803188,SRR1803190,SRR1551155,GSE48933,SRX870805,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562543
ENST00000381095.7	ENSG00000146938.14	protein_coding	13	1	SRR1803188,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1173905
ENST00000333673.5	ENSG00000178222.12	protein_coding	7	1	SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR3680967,SRR3680969	SRR1562540
ENST00000549918.1	ENSG00000111331.12	retained_intron	3	1	SRR1803151,SRR1803190,SRR1758379	SRR1173905
ENST00000276211.9	ENSG00000147256.10	protein_coding	3	1	SRR1562540,SRR3208885,SRR3208886	SRX870805
ENST00000611002.4	ENSG00000204920.10	protein_coding	24	1	SRX474113,SRR1803153,SRR1803188,SRR1573939,SRX870805,SRR970538,SRR970561,SRR970565,SRR1976443,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3680969	SRR627620
ENST00000464183.1	ENSG00000267060.5	retained_intron	1	1	SRR970490	SRR1562542
ENST00000440972.1	ENSG00000198369.9	protein_coding	5	1	SRR1573939,SRR970565,SRR3208864,SRR3208897,SRR3680967	SRR627621
ENST00000590751.5	ENSG00000180479.13	protein_coding	1	5	SRR3208870	SRR1562542,SRR1562543,SRR1042900,SRR627620,SRR627621
ENST00000358415.8	ENSG00000151655.17	protein_coding	2	8	SRR1562540,SRR1562542	SRR1173905,GSE48933,SRX870804,SRR1630831,SRR3208864,SRR3208865,SRR3208885,SRR3208897
ENST00000373467.3	ENSG00000121905.9	protein_coding	13	1	SRR1562539,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898	SRR1042900
ENST00000506344.5	ENSG00000145362.17	protein_coding	1	1	SRX870805	SRR1630831
ENST00000369470.1	ENSG00000134256.12	protein_coding	2	2	SRR1803190,SRR1910731	SRR1173905,SRR1042900
ENST00000373366.2	ENSG00000188910.7	protein_coding	10	5	SRR1551155,SRR1573939,SRR970538,SRR970565,SRR970587,SRR970588,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562541,SRR1562543,SRR627625,SRR3208864,SRR3208898
ENST00000545955.5	ENSG00000183878.15	protein_coding	13	1	SRR1803151,SRR1803188,SRR1562540,SRR935448,SRR627625,SRR810100,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898	SRR1562539
ENST00000370401.6	ENSG00000013619.13	protein_coding	36	2	SRX474113,SRR1551155,SRR1562540,SRR1562541,SRR1562542,SRR1562543,SRR935448,GSE48933,SRR1573939,SRX870805,SRR403889,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR810100,SRR1630831,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208897,SRR3208898,SRR3680967	SRR931815,SRR627620
ENST00000377989.8	ENSG00000168405.14	processed_transcript	7	5	SRR1803151,SRR1803188,SRR1803190,SRR810100,SRR3680966,SRR3680967,SRR3680969	SRR1562542,SRR1562543,SRX870805,SRR627625,SRR3208898
ENST00000538922.5	ENSG00000177455.11	protein_coding	6	1	SRR1803151,SRR1803153,SRR1803186,SRR1803188,SRR1803190,SRR1758378	SRR1562542
ENST00000528993.5	ENSG00000137492.7	nonsense_mediated_decay	4	1	SRR1573939,SRX870805,SRR970490,SRR3680967	SRR1562543
ENST00000478653.6	ENSG00000142794.18	processed_transcript	9	3	SRR1573939,SRX870805,SRR970538,SRR970565,SRR1976445,SRR1976446,SRR1630831,SRR3208885,SRR3208897	SRR1562539,SRR1042900,SRR627620
ENST00000519214.5	ENSG00000211445.11	nonsense_mediated_decay	13	4	SRX474113,SRR1551155,SRR1573939,SRX870805,SRR1976443,SRR1976444,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208870,SRR3208885,SRR3208898	SRR1803153,SRR935449,SRR627620,SRR3680968
ENST00000505406.5	ENSG00000145287.10	protein_coding	5	1	SRX870805,SRR1042900,SRR970538,SRR3130941,SRR3680969	SRR1976447
ENST00000366691.3	ENSG00000116574.5	protein_coding	22	6	SRX474113,SRR1551165,SRR1562540,SRR1562541,SRR1562542,SRX870804,SRX870805,SRR1042900,SRR970565,SRR970588,SRR1630831,SRR3208864,SRR3208865,SRR3208870,SRR3208871,SRR3208885,SRR3208886,SRR3208897,SRR3208898,SRR3680966,SRR3680968,SRR3680969	SRR935448,SRR935449,SRR627620,SRR627621,SRR627625,SRR810100
ENST00000513966.1	ENSG00000197712.11	processed_transcript	1	2	SRR1976444	SRR1562539,SRR3208886
ENST00000496038.1	ENSG00000132692.18	retained_intron	1	1	SRR1562543	SRR1758378
ENST00000273610.3	ENSG00000145040.3	protein_coding	2	16	SRR3130940,SRR3130941	SRR1173905,SRX474113,SRR1562539,SRX870805,SRR403883,SRR1042900,SRR1976447,SRR627620,SRR627621,SRR627625,SRR3208864,SRR3208871,SRR3208897,SRR3680966,SRR3680967,SRR3680969
ENST00000490597.5	ENSG00000093167.17	processed_transcript	10	1	SRX870805,SRR403889,SRR970561,SRR970587,SRR970588,SRR1976444,SRR1976446,SRR1976448,SRR627625,SRR3680968	SRR1562541
ENST00000475034.1	ENSG00000185008.17	processed_transcript	1	1	SRR3208885	SRR1551155
ENST00000549628.1	ENSG00000167779.7	processed_transcript	26	1	SRR1551155,SRR935448,SRR935449,SRR403883,SRR403889,SRR970490,SRR970538,SRR970561,SRR970565,SRR970587,SRR970588,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627620,SRR627621,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1758379,SRR3680966,SRR3680967	SRR1803153
ENST00000474798.1	ENSG00000239462.1	antisense	2	13	SRR1976444,SRR1976447	SRR1803151,SRR1803153,SRR1551155,SRR1562539,SRR1562542,SRR1562543,SRR935448,SRR627620,SRR627621,SRR1630831,SRR3208864,SRR3208870,SRR3680967
ENST00000233948.3	ENSG00000115596.3	protein_coding	5	2	SRR1042900,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1562541,SRR1976445
ENST00000256759.7	ENSG00000134363.11	protein_coding	30	1	SRR1551155,SRR935448,GSE48933,SRR1573939,SRR403883,SRR403889,SRR970490,SRR970538,SRR1976443,SRR1976444,SRR1976445,SRR1976446,SRR1976447,SRR1976448,SRR627620,SRR627621,SRR627625,SRR810100,SRR3130940,SRR3130941,SRR1758378,SRR1758379,SRR3208864,SRR3208865,SRR3208870,SRR3208897,SRR3680966,SRR3680967,SRR3680968,SRR3680969	SRR1630831
ENST00000468441.5	ENSG00000116885.18	protein_coding	2	4	SRR3208870,SRR3208898	SRR1551155,SRR1562542,SRR1562543,SRR1042900
